GISJOIN,GIS Join Match Code,G190
YEAR,Data File Year,1870
STATE,State Name,Iowa
STATEA,State Code,190
AREANAME,Area name,Iowa
ALL001,Agriculture >> 10 to 15 years of age >> Male,11243
ALL002,Agriculture >> 10 to 15 years of age >> Female,26
ALL003,Agriculture >> 16 to 59 years of age >> Male,187264
ALL004,Agriculture >> 16 to 59 years of age >> Female,274
ALL005,Agriculture >> 60 years of age and over >> Male,11400
ALL006,Agriculture >> 60 years of age and over >> Female,56
ALL007,Personal and professional services >> 10 to 15 years of age >> Male,560
ALL008,Personal and professional services >> 10 to 15 years of age >> Female,1002
ALL009,Personal and professional services >> 16 to 59 years of age >> Male,36796
ALL010,Personal and professional services >> 16 to 59 years of age >> Female,18827
ALL011,Personal and professional services >> 60 years of age and over >> Male,1175
ALL012,Personal and professional services >> 60 years of age and over >> Female,124
ALL013,Trade and transportation >> 10 to 15 years of age >> Male,128
ALL014,Trade and transportation >> 10 to 15 years of age >> Female,4
ALL015,Trade and transportation >> 16 to 59 years of age >> Male,27589
ALL016,Trade and transportation >> 16 to 59 years of age >> Female,54
ALL017,Trade and transportation >> 60 years of age and over >> Male,434
ALL018,Trade and transportation >> 60 years of age and over >> Female,1
ALL019,"Manufacturing, mechanics and mining >> 10 to 15 years of age >> Male",257
ALL020,"Manufacturing, mechanics and mining >> 10 to 15 years of age >> Female",12
ALL021,"Manufacturing, mechanics and mining >> 16 to 59 years of age >> Male",43090
ALL022,"Manufacturing, mechanics and mining >> 16 to 59 years of age >> Female",2733
ALL023,"Manufacturing, mechanics and mining >> 60 years of age and over >> Male",1214
ALL024,"Manufacturing, mechanics and mining >> 60 years of age and over >> Female",13
ALM001,Agriculture >> United States,160312
ALM002,Agriculture >> Germany,16924
ALM003,Agriculture >> Ireland,10668
ALM004,Agriculture >> England and Wales,5568
ALM005,Agriculture >> Scotland,1431
ALM006,"Agriculture >> Sweden, Norway and Denmark",6884
ALM007,Agriculture >> France,836
ALM008,Agriculture >> Other European countries,1258
ALM009,Agriculture >> Italy,7
ALM010,Agriculture >> Other Southern European Countries,2244
ALM011,Agriculture >> British America,2435
ALM012,Agriculture >> China and Japan,2
ALM013,Agriculture >> Other and unknown countries,1694
ALM014,Personal and professional services >> United States,43062
ALM015,Personal and professional services >> Germany,5026
ALM016,Personal and professional services >> Ireland,4159
ALM017,Personal and professional services >> England and Wales,1051
ALM018,Personal and professional services >> Scotland,229
ALM019,"Personal and professional services >> Sweden, Norway and Denmark",2443
ALM020,Personal and professional services >> France,208
ALM021,Personal and professional services >> Other European countries,514
ALM022,Personal and professional services >> Italy,30
ALM023,Personal and professional services >> Other Southern European Countries,929
ALM024,Personal and professional services >> British America,492
ALM025,Personal and professional services >> China and Japan,0
ALM026,Personal and professional services >> Other and unknown countries,341
ALM027,Trade and transportation >> United States,19921
ALM028,Trade and transportation >> Germany,2563
ALM029,Trade and transportation >> Ireland,2507
ALM030,Trade and transportation >> England and Wales,695
ALM031,Trade and transportation >> Scotland,180
ALM032,"Trade and transportation >> Sweden, Norway and Denmark",1133
ALM033,Trade and transportation >> France,105
ALM034,Trade and transportation >> Other European countries,253
ALM035,Trade and transportation >> Italy,7
ALM036,Trade and transportation >> Other Southern European Countries,333
ALM037,Trade and transportation >> British America,313
ALM038,Trade and transportation >> China and Japan,0
ALM039,Trade and transportation >> Other and unknown countries,200
ALM040,"Manufacturing, mechanics and mining >> United States",32815
ALM041,"Manufacturing, mechanics and mining >> Germany",6259
ALM042,"Manufacturing, mechanics and mining >> Ireland",2021
ALM043,"Manufacturing, mechanics and mining >> England and Wales",1916
ALM044,"Manufacturing, mechanics and mining >> Scotland",595
ALM045,"Manufacturing, mechanics and mining >> Sweden, Norway and Denmark",1014
ALM046,"Manufacturing, mechanics and mining >> France",333
ALM047,"Manufacturing, mechanics and mining >> Other European countries",489
ALM048,"Manufacturing, mechanics and mining >> Italy",6
ALM049,"Manufacturing, mechanics and mining >> Other Southern European Countries",702
ALM050,"Manufacturing, mechanics and mining >> British America",613
ALM051,"Manufacturing, mechanics and mining >> China and Japan",0
ALM052,"Manufacturing, mechanics and mining >> Other and unknown countries",556
